part_id,brand,manufacturer,product_line,product_name,exact_model,sku,device_class,hard_gate_result,qualification_status,master_hardware_list_action,inventory_classification,home_security,aging_in_place,home_automation,home_safety_environmental,home_lighting,approved_for_standard_use,approved_for_conditional_use,field_test_required,research_pending,custom_pass_through_only,do_not_use,customer_facing_outcome,internal_wnyhs_purpose,required_integration_path,home_assistant_compatibility_level,ha_green_suitability,vendor_app_role,cloud_role,subscription_role,power_type,network_type,battery_dependency,hub_bridge_dependency,retrofit_suitability,commercial_suitability,dashboard_implications,automation_implications,quote_line_item_role,required_bundled_accessories,optional_accessories,customer_disclosure_notes,installer_notes,support_notes,warranty_notes,stocking_recommendation,validation_status,required_wnyhs_validation_tests,evidence_confidence,primary_evidence_sources,missing_evidence,source,record_status,last_evaluated_date,next_review_date
reolink-home-hub,Reolink,Reolink,Home Hub Series,Reolink Home Hub,Home Hub,Home Hub,home_hub,PASS,conditional,conditional_catalog_candidate,conditional_stock_candidate,yes,no,yes,no,no,no,yes,no,no,no,no,Local storage and centralized management for qualifying Reolink camera estates.,Bridge qualifying Reolink cameras into WNYHS Core through the official Reolink integration while keeping recording on the hub.,Add the Reolink Home Hub directly to Home Assistant through the official Reolink integration; use Home Assistant Green for orchestration/control/dashboard only; keep storage on the Home Hub or attached supported storage.,native_or_official,Suitable as orchestration/control/dashboard layer only; not primary 24/7 recording.,"Initial setup, firmware updates, troubleshooting, and advanced feature configuration where applicable.",Optional remote access or optional vendor cloud services only; not required for the core local WNYHS outcome.,No required subscription for the core WNYHS outcome.,AC-powered local security hub,Router Ethernet uplink plus Wi-Fi camera estate support,no,no,medium,medium,Expose hub-managed cameras and recordings through the Reolink integration; Green is dashboard/orchestration only.,Use linked Reolink camera entities/events via the hub for automations; keep heavy recording and retention on the hub.,Local recording and HA bridge infrastructure,Power adapter | Ethernet network connection to router for setup/management,Compatible Reolink cameras | microSD card or supported hub storage media if applicable,"Home Assistant Green is the control/dashboard layer only, not the primary 24/7 recorder. | Remote access and cloud services are optional, not required for the core local WNYHS outcome.","Connect hub to router and complete initial provisioning in the Reolink app/client before Home Assistant onboarding. | Verify firmware, local credentials, camera compatibility, and storage configuration before turnover.","Vendor app/client remains the path for setup, firmware updates, troubleshooting, and some advanced hub/camera management. | Once cameras are managed by the hub, support should document the hub-centric access path.",Verify current official Reolink warranty terms at purchase time.,conditional_stock_candidate,needs_validation,"Validate hub discovery and stable Home Assistant onboarding. | Validate camera event/entity availability through the hub. | Validate recording retention, local playback path, and recovery after hub/router/Home Assistant restart.",high,https://reolink.com/product/reolink-home-hub/ | https://www.home-assistant.io/integrations/reolink | https://support.reolink.com/articles/44904170792345-Reolink-Home-Assistant-Integration/ | https://support.reolink.com/articles/32379509281561-Reolink-Home-Hub-Compatibility/,WNYHS bench validation not yet completed. | Confirm final field behavior after current production firmware on target camera mix.,official_reolink_and_home_assistant_verification_2026-06-18,needs_review,2026-06-18,2026-09-18
reolink-home-hub-mini,Reolink,Reolink,Home Hub Series,Reolink Home Hub Mini,Home Hub Mini,Home Hub Mini,home_hub,PASS,conditional,conditional_catalog_candidate,conditional_stock_candidate,yes,no,yes,no,no,no,yes,no,no,no,no,Compact local storage and centralized management for qualifying Reolink camera estates.,Bridge qualifying Reolink cameras into WNYHS Core through the official Reolink integration while keeping recording on the hub.,Add the Home Hub Mini directly to Home Assistant through the official Reolink integration; use Home Assistant Green for orchestration/control/dashboard only; keep storage on the Home Hub Mini or attached supported storage.,native_or_official,Suitable as orchestration/control/dashboard layer only; not primary 24/7 recording.,"Initial setup, firmware updates, troubleshooting, and advanced feature configuration where applicable.",Optional remote access or optional vendor cloud services only; not required for the core local WNYHS outcome.,No required subscription for the core WNYHS outcome.,AC-powered local security hub,Router Ethernet uplink plus Wi-Fi camera estate support,no,no,high,low,Expose hub-managed cameras and recordings through the Reolink integration; Green is dashboard/orchestration only.,Use linked Reolink camera entities/events via the hub for automations; keep heavy recording and retention on the hub.,Compact local recording and HA bridge infrastructure,Power adapter | Ethernet network connection to router for setup/management,Compatible Reolink cameras | microSD card or supported hub storage media if applicable,"Home Assistant Green is the control/dashboard layer only, not the primary 24/7 recorder. | Remote access and cloud services are optional, not required for the core local WNYHS outcome.","Connect hub to router and complete initial provisioning in the Reolink app/client before Home Assistant onboarding. | Verify firmware, local credentials, camera compatibility, and storage configuration before turnover.","Vendor app/client remains the path for setup, firmware updates, troubleshooting, and some advanced hub/camera management. | Document which cameras are managed by the hub to avoid split-path support confusion.",Verify current official Reolink warranty terms at purchase time.,conditional_stock_candidate,needs_validation,"Validate hub discovery and stable Home Assistant onboarding. | Validate camera event/entity availability through the hub. | Validate recording retention, local playback path, and recovery after hub/router/Home Assistant restart.",high,https://reolink.com/product/home-hub-mini/ | https://www.home-assistant.io/integrations/reolink | https://support.reolink.com/articles/44904170792345-Reolink-Home-Assistant-Integration/ | https://support.reolink.com/articles/32379509281561-Reolink-Home-Hub-Compatibility/,WNYHS bench validation not yet completed. | Confirm final field behavior after current production firmware on target camera mix.,official_reolink_and_home_assistant_verification_2026-06-18,needs_review,2026-06-18,2026-09-18
reolink-home-hub-pro,Reolink,Reolink,Home Hub Series,Reolink Home Hub Pro,Home Hub Pro,Home Hub Pro,home_hub,PASS,conditional,conditional_catalog_candidate,conditional_stock_candidate,yes,no,yes,no,no,no,yes,no,no,no,no,Higher-capacity local storage and centralized management for qualifying Reolink camera estates.,Bridge qualifying Reolink cameras into WNYHS Core through the official Reolink integration while keeping recording on the Home Hub Pro.,Add the Reolink Home Hub Pro directly to Home Assistant through the official Reolink integration; use Home Assistant Green for orchestration/control/dashboard only; keep storage on the Home Hub Pro.,native_or_official,Suitable as orchestration/control/dashboard layer only; not primary 24/7 recording.,"Initial setup, firmware updates, troubleshooting, and advanced feature configuration where applicable.",Optional remote access or optional vendor cloud services only; not required for the core local WNYHS outcome.,No required subscription for the core WNYHS outcome.,AC-powered local security hub with HDD-backed storage,Router Ethernet uplink plus Wi-Fi camera estate support,no,no,medium,medium,Expose hub-managed cameras and recordings through the Reolink integration; Green is dashboard/orchestration only.,Use linked Reolink camera entities/events via the hub for automations; keep heavy recording and retention on the Home Hub Pro.,Higher-capacity local recording and HA bridge infrastructure,Power adapter | Ethernet network connection to router for setup/management,Compatible Reolink cameras | Supported hard-drive expansion if applicable,"Home Assistant Green is the control/dashboard layer only, not the primary 24/7 recorder. | Remote access and cloud services are optional, not required for the core local WNYHS outcome.","Connect hub to router and complete initial provisioning in the Reolink app/client before Home Assistant onboarding. | Verify firmware, local credentials, camera compatibility, drive health, and storage configuration before turnover.","Vendor app/client remains the path for setup, firmware updates, troubleshooting, and some advanced hub/camera management. | Document hub-managed access flow and storage/retention settings.",Verify current official Reolink warranty terms at purchase time.,conditional_stock_candidate,needs_validation,"Validate hub discovery and stable Home Assistant onboarding. | Validate camera event/entity availability through the hub. | Validate recording retention, local playback path, and recovery after hub/router/Home Assistant restart.",high,https://reolink.com/product/reolink-home-hub-pro/ | https://www.home-assistant.io/integrations/reolink | https://support.reolink.com/articles/44904170792345-Reolink-Home-Assistant-Integration/ | https://support.reolink.com/articles/32379509281561-Reolink-Home-Hub-Compatibility/,WNYHS bench validation not yet completed. | Confirm final field behavior after current production firmware on target camera mix.,official_reolink_and_home_assistant_verification_2026-06-18,needs_review,2026-06-18,2026-09-18
reolink-rln8-410,Reolink,Reolink,NVR Series,Reolink RLN8-410,RLN8-410,RLN8-410,nvr,PASS,conditional,conditional_catalog_candidate,conditional_stock_candidate,yes,no,yes,no,no,no,yes,no,no,no,no,Local 24/7 recording and centralized camera management for small Reolink camera estates.,Use the NVR as the primary Reolink endpoint in Home Assistant while keeping recording/storage on the NVR.,Add the RLN8-410 directly to Home Assistant through the official Reolink integration; use Home Assistant Green for orchestration/control/dashboard only; keep storage on the NVR HDD.,native_or_official,Suitable as orchestration/control/dashboard layer only; not primary 24/7 recording.,"Initial setup, firmware updates, troubleshooting, and advanced feature configuration where applicable.",Optional remote access or optional vendor cloud services only; not required for the core local WNYHS outcome.,No required subscription for the core WNYHS outcome.,AC-powered PoE network video recorder,Wired Ethernet LAN with PoE camera ports,no,no,medium,medium,"Expose NVR cameras, streams, and supported entities through the Reolink integration; Green is dashboard/orchestration only.",Use NVR-exposed camera entities/events for automations; keep 24/7 recording and playback on the NVR.,PoE recording and camera management infrastructure,Power adapter | Internal or supported NVR storage drive | Network connection to router,Compatible Reolink PoE or supported Wi-Fi cameras | Monitor/HDMI access for local setup if desired,"Home Assistant Green is the control/dashboard layer only, not the primary 24/7 recorder. | Remote access and cloud services are optional, not required for the core local WNYHS outcome.","Complete NVR initialization, storage setup, local credentials, and firmware updates before Home Assistant onboarding. | Document camera-to-NVR topology and retention settings.","Vendor app/client remains the path for setup, firmware updates, troubleshooting, and some advanced NVR management. | Battery-camera compatibility depends on current NVR hardware/firmware support and should be validated separately.",Verify current official Reolink warranty terms at purchase time.,conditional_stock_candidate,needs_validation,"Validate NVR discovery and stable Home Assistant onboarding. | Validate event/entity exposure for connected cameras. | Validate recording retention, local playback path, and recovery after NVR/router/Home Assistant restart.",high,https://reolink.com/product/rln8-410/ | https://www.home-assistant.io/integrations/reolink | https://support.reolink.com/articles/44904170792345-Reolink-Home-Assistant-Integration/,WNYHS bench validation not yet completed. | Confirm deployed hardware/firmware revision behavior for target camera mix.,official_reolink_and_home_assistant_verification_2026-06-18,needs_review,2026-06-18,2026-09-18
reolink-rln12w,Reolink,Reolink,NVR Series,Reolink RLN12W,RLN12W,RLN12W,wifi_nvr,PASS,conditional,conditional_catalog_candidate,conditional_stock_candidate,yes,no,yes,no,no,no,yes,no,no,no,no,Local 24/7 recording and centralized management for Wi-Fi Reolink camera estates.,Use the Wi-Fi NVR as the primary Reolink endpoint in Home Assistant while keeping recording/storage on the NVR.,Add the RLN12W directly to Home Assistant through the official Reolink integration; use Home Assistant Green for orchestration/control/dashboard only; keep storage on the NVR HDD.,native_or_official,Suitable as orchestration/control/dashboard layer only; not primary 24/7 recording.,"Initial setup, firmware updates, troubleshooting, and advanced feature configuration where applicable.",Optional remote access or optional vendor cloud services only; not required for the core local WNYHS outcome.,No required subscription for the core WNYHS outcome.,AC-powered Wi-Fi network video recorder,Wired Ethernet LAN uplink with Wi-Fi camera connectivity,no,no,high,medium,"Expose NVR cameras, streams, and supported entities through the Reolink integration; Green is dashboard/orchestration only.",Use NVR-exposed camera entities/events for automations; keep 24/7 recording and playback on the NVR.,Wi-Fi recording and camera management infrastructure,Power adapter | Internal or supported NVR storage drive | Network connection to router,Compatible Reolink Wi-Fi cameras | Separate PoE switch or injector if using cameras that need PoE power before network bridging,"Home Assistant Green is the control/dashboard layer only, not the primary 24/7 recorder. | Remote access and cloud services are optional, not required for the core local WNYHS outcome.","Complete NVR initialization, storage setup, Wi-Fi camera enrollment, local credentials, and firmware updates before Home Assistant onboarding. | Document camera-to-NVR topology and retention settings.","Vendor app/client remains the path for setup, firmware updates, troubleshooting, and some advanced NVR management. | Models that need separate power or PoE upstream should be documented at quote time.",Verify current official Reolink warranty terms at purchase time.,conditional_stock_candidate,needs_validation,"Validate NVR discovery and stable Home Assistant onboarding. | Validate event/entity exposure for connected cameras. | Validate recording retention, local playback path, and recovery after NVR/router/Home Assistant restart.",high,https://reolink.com/product/rln12w/ | https://www.home-assistant.io/integrations/reolink | https://support.reolink.com/articles/44904170792345-Reolink-Home-Assistant-Integration/,WNYHS bench validation not yet completed. | Confirm deployed hardware/firmware revision behavior for target camera mix.,official_reolink_and_home_assistant_verification_2026-06-18,needs_review,2026-06-18,2026-09-18
reolink-rln16-410,Reolink,Reolink,NVR Series,Reolink RLN16-410,RLN16-410,RLN16-410,nvr,PASS,conditional,conditional_catalog_candidate,conditional_stock_candidate,yes,no,yes,no,no,no,yes,no,no,no,no,Local 24/7 recording and centralized camera management for larger Reolink camera estates.,Use the NVR as the primary Reolink endpoint in Home Assistant while keeping recording/storage on the NVR.,Add the RLN16-410 directly to Home Assistant through the official Reolink integration; use Home Assistant Green for orchestration/control/dashboard only; keep storage on the NVR HDD.,native_or_official,Suitable as orchestration/control/dashboard layer only; not primary 24/7 recording.,"Initial setup, firmware updates, troubleshooting, and advanced feature configuration where applicable.",Optional remote access or optional vendor cloud services only; not required for the core local WNYHS outcome.,No required subscription for the core WNYHS outcome.,AC-powered PoE network video recorder,Wired Ethernet LAN with PoE camera ports,no,no,medium,high,"Expose NVR cameras, streams, and supported entities through the Reolink integration; Green is dashboard/orchestration only.",Use NVR-exposed camera entities/events for automations; keep 24/7 recording and playback on the NVR.,Scaled PoE recording and camera management infrastructure,Power adapter | Internal or supported NVR storage drive | Network connection to router,Compatible Reolink PoE or supported Wi-Fi cameras | Monitor/HDMI access for local setup if desired,"Home Assistant Green is the control/dashboard layer only, not the primary 24/7 recorder. | Remote access and cloud services are optional, not required for the core local WNYHS outcome.","Complete NVR initialization, storage setup, local credentials, and firmware updates before Home Assistant onboarding. | Document camera-to-NVR topology and retention settings.","Vendor app/client remains the path for setup, firmware updates, troubleshooting, and some advanced NVR management. | Battery-camera compatibility depends on current NVR hardware/firmware support and should be validated separately.",Verify current official Reolink warranty terms at purchase time.,conditional_stock_candidate,needs_validation,"Validate NVR discovery and stable Home Assistant onboarding. | Validate event/entity exposure for connected cameras. | Validate recording retention, local playback path, and recovery after NVR/router/Home Assistant restart.",high,https://reolink.com/product/rln16-410/ | https://www.home-assistant.io/integrations/reolink | https://support.reolink.com/articles/44904170792345-Reolink-Home-Assistant-Integration/,WNYHS bench validation not yet completed. | Confirm deployed hardware/firmware revision behavior for target camera mix.,official_reolink_and_home_assistant_verification_2026-06-18,needs_review,2026-06-18,2026-09-18
reolink-rln36,Reolink,Reolink,NVR Series,Reolink RLN36,RLN36,RLN36,nvr,PASS,conditional,conditional_catalog_candidate,conditional_stock_candidate,yes,no,yes,no,no,no,yes,no,no,no,no,High-capacity local 24/7 recording and centralized camera management for large Reolink estates.,Use the NVR as the primary Reolink endpoint in Home Assistant while keeping recording/storage on the NVR.,Add the RLN36 directly to Home Assistant through the official Reolink integration; use Home Assistant Green for orchestration/control/dashboard only; keep storage on NVR-installed HDDs.,native_or_official,Suitable as orchestration/control/dashboard layer only; not primary 24/7 recording.,"Initial setup, firmware updates, troubleshooting, and advanced feature configuration where applicable.",Optional remote access or optional vendor cloud services only; not required for the core local WNYHS outcome.,No required subscription for the core WNYHS outcome.,AC-powered network video recorder,Wired Ethernet LAN; external PoE/network switching required for cameras,no,no,low,high,"Expose NVR cameras, streams, and supported entities through the Reolink integration; Green is dashboard/orchestration only.",Use NVR-exposed camera entities/events for automations; keep 24/7 recording and playback on the NVR.,Large-estate recording and camera management infrastructure,Power adapter | Installed or planned supported HDDs | Network connection to router,External PoE switch if using PoE cameras | Compatible Reolink network cameras,"Home Assistant Green is the control/dashboard layer only, not the primary 24/7 recorder. | Remote access and cloud services are optional, not required for the core local WNYHS outcome.","Complete NVR initialization, drive installation, local credentials, and firmware updates before Home Assistant onboarding. | Document upstream network/PoE topology and retention settings.","Vendor app/client remains the path for setup, firmware updates, troubleshooting, and some advanced NVR management. | This is a larger-site recorder and should not be quoted as a simple plug-and-play home starter unit.",Verify current official Reolink warranty terms at purchase time.,conditional_stock_candidate,needs_validation,"Validate NVR discovery and stable Home Assistant onboarding. | Validate event/entity exposure for connected cameras. | Validate recording retention, local playback path, and recovery after NVR/router/Home Assistant restart.",high,https://reolink.com/product/rln36/ | https://www.home-assistant.io/integrations/reolink | https://support.reolink.com/articles/44904170792345-Reolink-Home-Assistant-Integration/,WNYHS bench validation not yet completed. | Confirm deployed hardware/firmware revision behavior for target camera mix.,official_reolink_and_home_assistant_verification_2026-06-18,needs_review,2026-06-18,2026-09-18
reolink-e1-outdoor-pro,Reolink,Reolink,E1 Series,Reolink E1 Outdoor Pro,E1 Outdoor Pro,E1 Outdoor Pro,wifi_pt_camera,PASS,conditional,conditional_catalog_candidate,conditional_stock_candidate,yes,yes,yes,no,no,no,yes,no,no,no,no,"Local-first entry, yard, and room awareness with app-assisted PTZ setup and Home Assistant visibility.","Directly add the camera to Home Assistant for live view and supported entities while keeping recording on camera microSD, Home Hub, NVR, or other supported storage.","Add the camera directly to Home Assistant through the official Reolink integration; RTSP/ONVIF local path is also available; use Home Assistant Green for orchestration/control/dashboard only; keep storage on the camera, Home Hub, NVR, NAS, or other supported recording architecture.",native_or_official,Suitable as orchestration/control/dashboard layer only; not primary 24/7 recording.,"Initial setup, firmware updates, troubleshooting, and advanced feature configuration where applicable.",Optional remote access or optional vendor cloud services only; not required for the core local WNYHS outcome.,No required subscription for the core WNYHS outcome.,Plug-in wired power,Wi-Fi 6,no,no,high,medium,Suitable for dashboard live view and supported entities in Home Assistant; Green is not the recorder.,Useful for motion/person/vehicle-triggered automations where exposed; PTZ and advanced tracking settings may stay app-managed.,Direct local Wi-Fi PT camera,Power adapter | Stable Wi-Fi coverage | Local admin credentials,microSD card | Reolink Home Hub | Reolink NVR | NAS or other supported storage,"Home Assistant Green is the control/dashboard layer only, not the primary 24/7 recorder. | Advanced PTZ presets, patrol, or tracking configuration may still require the Reolink app/client.","Initialize camera, set local credentials, confirm Wi-Fi signal quality, and update firmware before Home Assistant onboarding. | Validate stream choice, event latency, and storage path during commissioning.","Vendor app/client remains the path for setup, firmware updates, troubleshooting, and some advanced PTZ/tracking configuration. | Document any PTZ presets or patrol logic that are configured outside Home Assistant.",Verify current official Reolink warranty terms at purchase time.,conditional_stock_candidate,needs_validation,Validate Home Assistant onboarding and stable live stream. | Validate motion/person/vehicle entity exposure and latency. | Validate restart recovery for camera/router/Home Assistant and confirm chosen storage path.,high,https://reolink.com/product/e1-outdoor-pro/ | https://www.home-assistant.io/integrations/reolink | https://support.reolink.com/articles/44904170792345-Reolink-Home-Assistant-Integration/,WNYHS bench validation not yet completed. | Confirm PTZ/tracking behavior and entity set under current production firmware.,official_reolink_and_home_assistant_verification_2026-06-18,needs_review,2026-06-18,2026-09-18
reolink-elite-floodlight-wifi,Reolink,Reolink,Elite Series,Reolink Elite Floodlight WiFi,Elite Floodlight WiFi,Elite Floodlight WiFi,wifi_floodlight_camera,PASS,conditional,conditional_catalog_candidate,conditional_stock_candidate,yes,yes,yes,no,yes,no,yes,no,no,no,no,Perimeter video awareness with deterrence lighting and local-first recording options.,"Directly add the camera to Home Assistant for live view and supported entities while keeping recording on camera microSD, Home Hub, NVR, or other supported storage.","Add the camera directly to Home Assistant through the official Reolink integration; RTSP/ONVIF local path is also available; use Home Assistant Green for orchestration/control/dashboard only; keep storage on the camera, Home Hub, NVR, NAS, or other supported recording architecture.",native_or_official,Suitable as orchestration/control/dashboard layer only; not primary 24/7 recording.,"Initial setup, firmware updates, troubleshooting, and advanced feature configuration where applicable.",Optional remote access or optional vendor cloud services only; not required for the core local WNYHS outcome.,No required subscription for the core WNYHS outcome.,Wired floodlight power,Wi-Fi 6,no,no,medium,medium,Suitable for dashboard live view and supported entities in Home Assistant; Green is not the recorder.,Useful for motion/person/vehicle-triggered automations; floodlight control/entity parity should be validated on deployed firmware.,Direct local Wi-Fi floodlight camera,Hardwired floodlight power | Stable Wi-Fi coverage | Local admin credentials,microSD card | Reolink Home Hub | Reolink NVR | Compatible lighting automation logic in Home Assistant,"Home Assistant Green is the control/dashboard layer only, not the primary 24/7 recorder. | Floodlight controls and advanced panoramic features should be treated as conditional until WNYHS validation confirms exact HA behavior.","Verify electrical box suitability, Wi-Fi signal quality, local credentials, and firmware before Home Assistant onboarding. | Validate stream choice, event latency, floodlight behavior, and storage path during commissioning.","Vendor app/client remains the path for setup, firmware updates, troubleshooting, and some advanced floodlight/camera configuration. | Document whether floodlight modes are managed in Home Assistant or retained in the Reolink app/client.",Verify current official Reolink warranty terms at purchase time.,conditional_stock_candidate,needs_validation,Validate Home Assistant onboarding and stable live stream. | Validate motion/person/vehicle entity exposure and floodlight behavior. | Validate restart recovery for camera/router/Home Assistant and confirm chosen storage path.,high,https://reolink.com/product/elite-floodlight-wifi/ | https://www.home-assistant.io/integrations/reolink | https://support.reolink.com/articles/44904170792345-Reolink-Home-Assistant-Integration/,WNYHS bench validation not yet completed. | Confirm floodlight entity behavior and advanced panoramic presentation under current production firmware.,official_reolink_and_home_assistant_verification_2026-06-18,needs_review,2026-06-18,2026-09-18
reolink-fe-w,Reolink,Reolink,Fisheye Series,Reolink FE-W,FE-W,FE-W,wifi_fisheye_camera,PASS,conditional,conditional_catalog_candidate,conditional_stock_candidate,yes,yes,yes,no,no,no,yes,no,no,no,no,Wide-area room or entry awareness with local-first recording options.,"Directly add the camera to Home Assistant for live view and supported entities while keeping recording on camera microSD, Home Hub, NVR, or other supported storage.","Add the camera directly to Home Assistant through the official Reolink integration; RTSP/ONVIF local path is also available; use Home Assistant Green for orchestration/control/dashboard only; keep storage on the camera, Home Hub, NVR, NAS, or other supported recording architecture.",native_or_official,Suitable as orchestration/control/dashboard layer only; not primary 24/7 recording.,"Initial setup, firmware updates, troubleshooting, and advanced feature configuration where applicable.",Optional remote access or optional vendor cloud services only; not required for the core local WNYHS outcome.,No required subscription for the core WNYHS outcome.,Plug-in wired power,Wi-Fi,no,no,high,medium,Suitable for dashboard live view and supported entities in Home Assistant; Green is not the recorder.,Useful for motion-triggered automations where exposed; fisheye dewarping/view modes may remain app/NVR-centric.,Direct local Wi-Fi fisheye camera,Power adapter | Stable Wi-Fi coverage | Local admin credentials,microSD card | Reolink Home Hub | Reolink NVR | NAS or other supported storage,"Home Assistant Green is the control/dashboard layer only, not the primary 24/7 recorder. | Fisheye dewarping modes and panoramic presentation may be richer in the Reolink app/client or NVR than in Home Assistant.","Initialize camera, set local credentials, confirm Wi-Fi signal quality, and update firmware before Home Assistant onboarding. | Validate stream choice, event latency, and storage path during commissioning.","Vendor app/client remains the path for setup, firmware updates, troubleshooting, and some fisheye-specific configuration. | Document whether client-side dewarping views are required for the customer outcome.",Verify current official Reolink warranty terms at purchase time.,conditional_stock_candidate,needs_validation,Validate Home Assistant onboarding and stable live stream. | Validate motion/person entity exposure and practical dashboard presentation. | Validate restart recovery for camera/router/Home Assistant and confirm chosen storage path.,high,https://reolink.com/product/fe-w/ | https://www.home-assistant.io/integrations/reolink | https://support.reolink.com/articles/44904170792345-Reolink-Home-Assistant-Integration/,WNYHS bench validation not yet completed. | Confirm preferred fisheye presentation and entity set under current production firmware.,official_reolink_and_home_assistant_verification_2026-06-18,needs_review,2026-06-18,2026-09-18
